frame_idx,time_sec,track_id,castor_detected,person_detected,min_person_to_castor_px,min_hand_to_castor_px,near_robot,probable_contact,inside_robot_zone,interaction_score_frame,interaction_label_frame
750,25.025000000000002,4,1,1,999.1424189032452,886.3724365234375,0,0,0,0.0,nula
751,25.058366666666668,4,1,1,994.6625649258553,880.5828461942659,0,0,0,0.0,nula
752,25.091733333333334,4,1,1,989.9340757448756,746.1670532226562,0,0,0,0.0,nula
753,25.1251,4,1,1,984.0252921188337,847.9677429199219,0,0,0,0.0,nula
753,25.1251,5,1,1,106.77311115549625,,1,0,0,24.570403185034074,baixa
754,25.158466666666666,4,1,1,978.54569683825,801.1575622558594,0,0,0,0.0,nula
754,25.158466666666666,5,1,1,106.13060022251794,,1,0,0,24.53685919544314,baixa
755,25.191833333333335,4,1,1,973.3331365837357,844.685546875,0,0,0,0.0,nula
756,25.2252,4,1,1,967.5630976939833,942.46142578125,0,0,0,0.0,nula
756,25.2252,5,1,1,105.6689299350401,,1,0,0,24.540830073574153,baixa
757,25.258566666666667,4,1,1,684.1134166521535,,1,0,0,32.72691724454489,baixa
758,25.291933333333333,4,1,1,760.4509962651216,947.2697143554688,0,0,0,0.0,nula
759,25.325300000000002,4,1,1,812.4458487063966,946.924072265625,0,0,0,0.0,nula
760,25.358666666666668,4,1,1,845.6958963983817,868.4696960449219,0,0,0,0.0,nula
761,25.392033333333334,4,1,1,866.306661778407,936.9702453613281,0,0,0,0.0,nula
762,25.4254,4,1,1,879.5345751117269,932.2339477539062,0,0,0,0.0,nula
763,25.458766666666666,4,1,1,886.4932446141355,885.607177734375,0,0,0,0.0,nula
763,25.458766666666666,5,1,1,105.73909596509976,0.0,1,1,1,89.40971832980942,alta
764,25.492133333333335,4,1,1,888.7725906705448,710.758056640625,0,0,0,0.0,nula
764,25.492133333333335,5,1,1,105.84589953928366,0.0,1,1,1,89.39048921209537,alta
765,25.5255,4,1,1,888.210249764735,684.2486267089844,0,0,0,0.0,nula
766,25.558866666666667,4,1,1,886.1345631154047,650.5154113769531,0,0,0,0.0,nula
767,25.592233333333333,4,1,1,882.2152207271508,607.6541137695312,0,0,0,0.0,nula
768,25.625600000000002,4,1,1,877.5174445698685,605.1832275390625,0,0,0,0.0,nula
769,25.658966666666668,4,1,1,872.7994121385498,768.367431640625,0,0,0,0.0,nula
770,25.692333333333334,4,1,1,868.2771270346091,754.4325256347656,0,0,0,0.0,nula
771,25.7257,4,1,1,864.1946605578946,484.34161376953125,0,0,0,0.0,nula
772,25.759066666666666,4,1,1,859.8267397244997,467.91046142578125,0,0,0,0.0,nula
773,25.792433333333335,4,1,1,855.2315375809144,453.87860107421875,0,0,0,0.0,nula
774,25.8258,4,1,1,851.6641516052841,444.14129638671875,0,0,0,0.0,nula
775,25.859166666666667,4,1,1,848.9903829968506,445.9190673828125,0,0,0,0.0,nula
776,25.892533333333333,4,1,1,846.3475649098636,448.45770263671875,0,0,0,0.0,nula
777,25.925900000000002,4,1,1,843.6499351908302,432.60614013671875,0,0,0,0.0,nula
778,25.959266666666668,4,1,1,839.3306218896296,460.84326171875,0,0,0,0.0,nula
779,25.992633333333334,4,1,1,833.1210874618502,444.9808349609375,0,0,0,0.0,nula
780,26.026,4,1,1,823.8129876476722,437.2059326171875,0,0,0,0.0,nula
781,26.059366666666666,4,1,1,815.8121625861447,433.37451171875,0,0,0,0.0,nula
782,26.092733333333335,4,1,1,808.2826694274513,441.0330810546875,0,0,0,0.0,nula
782,26.092733333333335,6,1,1,875.5245134615193,644.0556640625,0,0,0,0.0,nula
783,26.1261,4,1,1,796.7457208642579,432.19769287109375,0,0,0,0.0,nula
783,26.1261,6,1,1,874.209095181589,674.5406494140625,0,0,0,0.0,nula
784,26.159466666666667,4,1,1,786.5850835271985,430.12884521484375,0,0,0,0.0,nula
784,26.159466666666667,6,1,1,873.148688699297,646.7888793945312,0,0,0,0.0,nula
785,26.192833333333333,4,1,1,778.0641801386529,427.0465087890625,0,0,0,0.0,nula
785,26.192833333333333,6,1,1,872.4584940620639,627.3189086914062,0,0,0,0.0,nula
786,26.226200000000002,4,1,1,771.542522546463,425.2819519042969,0,0,0,0.0,nula
786,26.226200000000002,6,1,1,872.1419523139539,648.2618713378906,0,0,0,0.0,nula
787,26.259566666666668,4,1,1,765.8518291701832,414.20196533203125,0,0,0,0.0,nula
787,26.259566666666668,6,1,1,871.7307883205641,644.4556884765625,0,0,0,0.0,nula
788,26.292933333333334,4,1,1,760.9297467437697,418.96435546875,0,0,0,0.0,nula
788,26.292933333333334,6,1,1,871.757907906106,629.1846923828125,0,0,0,0.0,nula
789,26.3263,4,1,1,755.529199118831,401.537353515625,0,0,0,0.0,nula
