frame_idx,timestamp_sec,target_id,target_visible,visible_ids,num_people,castor_visible,castor_bbox,target_bbox,face_confidence,pose_confidence,gaze_to_castor_prob,gaze_label,gaze_source,body_to_castor_distance_cm,hand_to_castor_distance_px,proxemic_zone,touch_prob,touch_state,interaction_state,confidence_level
10,0.3333333333333333,1,True,"[1, 2, 3]",3,True,"(0.0, 139.7440643310547, 425.284912109375, 720.0)","(966.2647705078125, 0.0, 1250.8516845703125, 469.669189453125)",0.0,0.0,0.0,indeterminado,none,237.67319356385423,,zona_3,0.0,sem_contato,proximidade,baixa
11,0.36666666666666664,1,True,"[1, 2, 3]",3,True,"(0.377685546875, 138.99822998046875, 423.7061462402344, 720.0)","(953.8502197265625, 0.0, 1245.9019775390625, 472.6558532714844)",0.0,0.0,0.0,indeterminado,none,233.9912736723721,,zona_3,0.0,sem_contato,proximidade,baixa
12,0.4,1,True,"[1, 2, 3]",3,True,"(0.0, 138.17311096191406, 422.9602966308594, 720.0)","(944.9323120117188, 0.798434317111969, 1247.3642578125, 482.5370178222656)",0.0,0.0,0.0,indeterminado,none,228.16951674550054,,zona_3,0.0,sem_contato,proximidade,baixa
13,0.43333333333333335,1,True,"[1, 2, 3]",3,True,"(0.0, 138.750732421875, 426.9623718261719, 720.0)","(939.4072265625, 0.9623092412948608, 1251.8828125, 493.20733642578125)",0.0,0.0,0.0,indeterminado,none,222.04798097711736,,zona_3,0.0,sem_contato,proximidade,baixa
14,0.4666666666666667,1,True,"[1, 2, 3]",3,True,"(0.0, 138.777099609375, 417.0048828125, 720.0)","(933.6661987304688, 0.9534804821014404, 1259.332275390625, 511.47174072265625)",0.0,0.0,0.0,indeterminado,none,214.40625947939472,,zona_3,0.0,sem_contato,proximidade,baixa
15,0.5,1,True,"[1, 2, 3]",3,True,"(0.0, 138.6754608154297, 413.8734436035156, 720.0)","(930.9108276367188, 2.061528444290161, 1269.841796875, 534.962158203125)",0.0,0.0,0.0,indeterminado,none,205.45663477244628,,zona_3,0.0,sem_contato,proximidade,baixa
16,0.5333333333333333,1,True,"[1, 2, 3]",3,True,"(0.0, 138.72900390625, 414.1307067871094, 720.0)","(930.2893676757812, 2.4790244102478027, 1273.657470703125, 543.856201171875)",0.0,0.0,0.0,indeterminado,none,202.16850233140948,,zona_3,0.0,sem_contato,proximidade,baixa
17,0.5666666666666667,1,True,"[1, 2, 3]",3,True,"(0.0, 139.0135955810547, 406.8079833984375, 720.0)","(935.4291381835938, 1.4317442178726196, 1280.0, 550.9658203125)",0.0,0.7065393096870847,0.0,indeterminado,none,200.89154658741532,602.6084036827087,zona_3,0.0,sem_contato,proximidade,media
18,0.6,1,True,"[1, 2, 3]",3,True,"(5.197184085845947, 139.37109375, 383.2940368652344, 720.0)","(936.4808349609375, 1.0448617935180664, 1280.0, 565.51318359375)",0.0,0.7325648930337694,0.0,indeterminado,none,197.06165257888682,623.2408689260483,zona_3,0.0,sem_contato,proximidade,media
19,0.6333333333333333,1,True,"[1, 2, 3]",3,True,"(0.0, 139.3155059814453, 424.3841247558594, 720.0)","(934.2935791015625, 0.5451343059539795, 1280.0, 588.5391845703125)",0.0,0.7549094557762146,0.0,indeterminado,none,184.60562425601654,574.157248467207,zona_3,0.0,sem_contato,proximidade,media
