track_id,start_frame,end_frame,start_time_sec,end_time_sec,duration_sec,mean_person_distance_px,mean_hand_distance_px,near_ratio,contact_ratio,mean_score,label
20,2507,2547,83.65023333333333,84.9849,1.3346666666666636,102.71556434309606,0.0,1.0,0.8888888888888888,82.52192379238741,alta
21,2625,2639,87.5875,88.05463333333333,0.46713333333333334,102.66808644301874,0.0,1.0,0.21428571428571427,38.69483632800382,baixa
34,3796,3824,126.65986666666667,127.59413333333333,0.9342666666666588,106.80583092316604,0.0,1.0,0.2,37.307317187273284,baixa
47,4725,4754,157.6575,158.62513333333334,0.9676333333333389,102.03450534876748,0.0,1.0,0.35,47.524017604415285,media
48,4785,4813,159.6595,160.59376666666668,0.934266666666673,103.75410914542059,0.0,1.0,0.9411764705882353,85.75889098828091,alta
49,4920,4934,164.16400000000002,164.63113333333334,0.5005000000000001,104.6868783361288,0.0,1.0,0.8,76.55863391338511,alta
50,5070,5096,169.169,170.03653333333332,0.8675333333333128,107.4553563497335,0.0,1.0,0.375,48.69384841538276,media
54,5308,5339,177.11026666666666,178.14463333333333,1.0343666666666707,105.4318058156995,0.0,1.0,0.0625,28.50668164490261,baixa
57,5595,5609,186.6865,187.15363333333335,0.4671333333333507,103.98733320432287,0.0,1.0,0.2857142857142857,43.17204150048691,baixa
60,5805,5819,193.6935,194.16063333333335,0.4671333333333507,104.19226500499437,0.0,1.0,0.9285714285714286,84.96109945331935,alta
62,5903,5983,196.96343333333334,199.63276666666667,2.669333333333327,104.18941080276211,0.0,1.0,0.7391304347826086,72.63797273790637,media
64,6105,6181,203.7035,206.23936666666668,2.535866666666692,104.29730553702497,0.0,1.0,0.6578947368421053,67.34934406884987,media
66,6272,6389,209.27573333333333,213.17963333333333,3.903899999999993,104.73914874459894,0.0,1.0,0.9318181818181818,85.10453469393308,alta
72,6685,6719,223.05616666666668,224.19063333333332,1.1344666666666399,103.64848731668319,0.0,1.0,0.21428571428571427,38.57697486259592,baixa
77,6960,6989,232.232,233.19963333333334,0.9676333333333389,104.08388063740294,0.0,1.0,1.0,89.61627536530416,alta
82,7161,7184,238.9387,239.70613333333333,0.7674333333333152,105.1226748249002,0.0,1.0,0.875,81.38140938653402,alta
83,7260,7304,242.242,243.71013333333335,1.4681333333333555,103.17230745847903,0.0,1.0,0.6785714285714286,68.78952280512446,media
84,7380,7429,246.246,247.88096666666667,1.6349666666666565,102.36746230907673,0.0,1.0,0.5652173913043478,61.50163351169683,media
111,11403,11459,380.4801,382.34863333333334,1.868533333333346,104.79550815467162,0.0,1.0,0.04878048780487805,27.67606122825725,baixa
113,11580,11594,386.386,386.85313333333335,0.5005000000000001,105.73509608167866,0.0,1.0,0.5333333333333333,59.08190647461538,media
114,11642,11694,388.45473333333337,390.1898,1.7350666666666257,105.33870601798775,0.0,1.0,0.5,57.0217482491178,media
115,11748,11819,391.9916,394.36063333333334,2.369033333333334,102.67297153644236,0.0,1.0,0.45454545454545453,54.28772221853864,media
120,12270,12299,409.409,410.37663333333336,0.9676333333333673,105.58373521681318,0.0,1.0,0.06666666666666667,28.780706852420824,baixa
130,13890,13915,463.463,464.29716666666667,0.834166666666647,105.89982848382654,0.0,1.0,0.95,86.17238591614003,alta
131,13950,13964,465.46500000000003,465.93213333333335,0.46713333333333334,106.6217031263179,0.0,1.0,1.0,89.33375242796673,alta
135,14144,14266,471.9381333333333,476.0088666666667,4.070733333333351,104.702763747459,0.0,1.0,0.48717948717948717,56.19292399211498,media
139,14453,14497,482.24843333333337,483.71656666666667,1.4681333333332987,105.39001179027454,0.0,1.0,0.05,27.712053869285228,baixa
161,16100,16135,537.2033333333334,538.3711666666667,1.1678333333333057,106.8963457900507,0.0,1.0,0.1111111111111111,31.528685910599286,baixa
170,16620,16634,554.554,555.0211333333333,0.5005000000000001,104.08738331195346,0.0,1.0,0.13333333333333333,33.26084615037756,baixa
176,16844,16872,562.0281333333334,562.9624,0.9342666666666446,106.17709001241751,0.0,1.0,0.3157894736842105,44.88142537379071,baixa
177,16902,16964,563.9634,566.0321333333334,2.068733333333398,104.41076994555908,0.0,1.0,0.30303030303030304,44.24285761766866,baixa
179,17250,17294,575.575,577.0431333333333,1.4681333333332987,105.92427182068262,0.0,1.0,0.45454545454545453,53.98732511394332,media
187,19125,19189,638.1375,640.2729666666667,2.135466666666616,109.10466161107321,0.0,1.0,0.21052631578947367,37.78702054462991,baixa
189,19401,19432,647.3467,648.3810666666667,1.0343666666666422,106.74041213575418,0.0,1.0,0.35294117647058826,47.26108735835283,media
198,20431,20488,681.7143666666667,683.6162666666667,1.901899999999955,102.75413818999554,0.0,1.0,0.15,34.469315704941856,baixa
206,22844,22905,762.2281333333334,764.2635,2.0687333333333333,253.45982227364493,12.735068782683342,1.0,0.8709677419354839,66.41471423677366,media
206,22908,22929,764.3636,765.0643,0.7340666666666666,249.11239650870314,24.79830516468395,1.0,0.7272727272727273,58.97264081859134,media
206,22955,22976,765.9318333333333,766.6325333333333,0.7340666666666666,189.37271053319043,39.42416104403409,1.0,0.5,53.95945466921055,media
206,22978,23048,766.6992666666666,769.0349333333334,2.3690333333333333,164.9089829950086,2.938286150005502,1.0,0.9859154929577465,82.13456313747368,alta
208,22844,22905,762.2281333333334,764.2635,2.0687333333333333,78.26283594240233,0.0,1.0,1.0,95.63796819463019,alta
208,22908,22929,764.3636,765.0643,0.7340666666666666,38.99325220413947,0.0,1.0,1.0,95.93729158663615,alta
208,22955,22976,765.9318333333333,766.6325333333333,0.7340666666666666,48.3669333655417,0.0,1.0,1.0,95.19546329378778,alta
